annee,n_matchs,baseline_%,modele_%,gain_pts,recall_nul_%
2014,856,46.61,56.07,9.46,1.46
2015,1039,47.74,59.67,11.93,0.0
2016,920,49.57,60.65,11.09,0.48
2017,924,45.89,56.28,10.39,0.42
2018,929,46.61,55.65,9.04,1.28
2019,1149,49.26,62.14,12.88,0.0
2020,347,42.94,53.6,10.66,2.13
2021,1115,48.7,65.11,16.41,1.2
2022,970,49.79,58.76,8.97,0.45
2023,1054,46.68,61.48,14.8,0.0
2024,1231,46.14,59.22,13.08,0.65
2025,1002,48.5,61.98,13.47,0.0
